City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vardo,70.3705,31.1107,-10.01,85,100,5.14,NO,1678031129
1,ponta do sol,32.6667,-17.1,21.11,87,89,3.89,PT,1678031129
2,siguiri,11.6667,-9.5,39.09,10,51,2.97,GN,1678031129
3,cape town,-33.9258,18.4232,19.23,92,75,7.2,ZA,1678031130
4,kota bahru,6.1333,102.2386,24.97,78,20,1.54,MY,1678031130
5,malvern,34.3623,-92.813,16.52,78,1,2.82,US,1678031130
6,mataura,-46.1927,168.8643,4.15,99,6,1.19,NZ,1678031131
7,punta arenas,-53.15,-70.9167,8.06,93,100,4.63,CL,1678030959
8,jimeta,9.2833,12.4667,42.13,24,20,2.06,NG,1678031133
9,cherskiy,68.75,161.3,-34.98,100,96,2.4,RU,1678031133
10,quarai,-30.3875,-56.4514,31.44,38,0,2.99,BR,1678031134
11,misratah,32.3754,15.0925,15.54,58,2,8.99,LY,1678031134
12,nadym,65.5333,72.5167,-25.22,100,80,3.69,RU,1678031134
13,ushuaia,-54.8,-68.3,6.81,65,75,3.09,AR,1678031134
14,castro,-24.7911,-50.0119,23.4,75,3,4.16,BR,1678031135
15,carnarvon,-24.8667,113.6333,25.37,70,0,11.51,AU,1678031135
16,hobart,-42.8794,147.3294,17.92,83,100,3.09,AU,1678031117
17,san borja,-14.8167,-66.85,25.55,89,100,1.03,BO,1678031136
18,upernavik,72.7868,-56.1549,-5.43,87,100,5.59,GL,1678031136
19,mwinilunga,-11.7358,24.4293,20.13,94,100,2.03,ZM,1678031137
20,port alfred,-33.5906,26.891,24.98,88,66,3.52,ZA,1678031137
21,boyolangu,-8.1181,111.8935,24.01,88,100,1.23,ID,1678031137
22,hermanus,-34.4187,19.2345,19.89,91,95,11.54,ZA,1678031138
23,tiksi,71.6872,128.8694,-19.6,100,100,1.19,RU,1678031138
24,flinders,-34.5833,150.8552,21.32,84,42,2.99,AU,1678031139
25,rikitea,-23.1203,-134.9692,26.33,76,100,7.92,PF,1678031139
26,atuona,-9.8,-139.0333,26.53,82,15,6.78,PF,1678031140
27,kaitangata,-46.2817,169.8464,7.22,88,19,1.29,NZ,1678031140
28,jamestown,42.097,-79.2353,2.77,100,100,5.14,US,1678031140
29,vestmannaeyjar,63.4427,-20.2734,5.55,70,75,5.14,IS,1678031141
30,albany,42.6001,-73.9662,4.34,73,99,0.45,US,1678031141
31,khatanga,71.9667,102.5,-31.4,100,99,2.4,RU,1678031141
32,san luis,-33.295,-66.3356,33.62,24,0,8.24,AR,1678031142
33,hilo,19.7297,-155.09,19.03,82,0,2.57,US,1678031142
34,qaanaaq,77.484,-69.3632,-4.52,60,100,3.72,GL,1678031142
35,mehamn,71.0357,27.8492,-8.05,79,49,7.72,NO,1678031143
36,bluff,-46.6,168.3333,8.69,82,4,4.05,NZ,1678031143
37,vaini,-21.2,-175.2,27.09,89,75,8.75,TO,1678031144
38,dunedin,-45.8742,170.5036,9.89,79,4,1.53,NZ,1678031144
39,souillac,-20.5167,57.5167,26.21,89,75,0.0,MU,1678031144
40,petatlan,17.5167,-101.2667,24.89,53,56,1.82,MX,1678031144
41,chegem,43.2833,43.1333,-3.93,74,94,5.05,RU,1678031145
42,nikolskoye,59.7035,30.7861,-2.06,98,100,0.08,RU,1678031145
43,kyshtovka,56.555,76.6271,-5.81,93,100,3.99,RU,1678031146
44,pevek,69.7008,170.3133,-36.95,100,39,2.94,RU,1678031146
45,hun,29.1268,15.9477,19.95,11,5,5.46,LY,1678031146
46,mumford,5.2618,-0.759,29.03,72,17,6.5,GH,1678031147
47,ilulissat,69.2167,-51.1,-1.99,86,3,0.0,GL,1678031147
48,ajuchitlan,20.7167,-100.0167,15.66,32,100,0.39,MX,1678031147
